"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that nested menu items navigate to the correct pages.","1423","Test Nested Menu Navigation","","Mon Sep 23 23:37:35 AMT 2024","passed","Mon Sep 23 23:37:37 AMT 2024","","UI Tests","",""
"Verifies that adding a product to the cart works correctly.","1702","Test Add to Cart","","Mon Sep 23 23:37:40 AMT 2024","passed","Mon Sep 23 23:37:42 AMT 2024","","UI Tests","",""
"Verifies that the slider functions correctly.","2424","Test Slider Functionality","","Mon Sep 23 23:37:42 AMT 2024","passed","Mon Sep 23 23:37:44 AMT 2024","","UI Tests","",""
"Verifies that footer links navigate to the correct pages.","905","Test Footer Links","","Mon Sep 23 23:37:47 AMT 2024","passed","Mon Sep 23 23:37:48 AMT 2024","","UI Tests","",""
"Verifies that nested menu items navigate to the correct pages.","1658","Test Nested Menu Navigation","","Mon Sep 23 23:37:34 AMT 2024","passed","Mon Sep 23 23:37:35 AMT 2024","","UI Tests","",""
"Verifies that searching for a product returns correct results.","1693","Test Product Search","","Mon Sep 23 23:37:38 AMT 2024","passed","Mon Sep 23 23:37:40 AMT 2024","","UI Tests","",""
"Verifies that footer links navigate to the correct pages.","955","Test Footer Links","","Mon Sep 23 23:37:48 AMT 2024","passed","Mon Sep 23 23:37:49 AMT 2024","","UI Tests","",""
"Verifies that footer links navigate to the correct pages.","1753","Test Footer Links","","Mon Sep 23 23:37:51 AMT 2024","passed","Mon Sep 23 23:37:52 AMT 2024","","UI Tests","",""
"Verifies that footer links navigate to the correct pages.","1191","Test Footer Links","","Mon Sep 23 23:37:52 AMT 2024","passed","Mon Sep 23 23:37:54 AMT 2024","","UI Tests","",""
"Verifies that nested menu items navigate to the correct pages.","1442","Test Nested Menu Navigation","","Mon Sep 23 23:37:32 AMT 2024","passed","Mon Sep 23 23:37:34 AMT 2024","","UI Tests","",""
"Verifies that adding a product to the wishlist works correctly.","1477","Test Add to Wishlist","","Mon Sep 23 23:37:45 AMT 2024","passed","Mon Sep 23 23:37:47 AMT 2024","","UI Tests","",""
"Verifies that each menu item on the homepage navigates to the correct page and displays the correct heading.","5985","Test Menu Item Navigation","","Mon Sep 23 23:37:26 AMT 2024","passed","Mon Sep 23 23:37:32 AMT 2024","","UI Tests","",""
"Verifies that nested menu items navigate to the correct pages.","1372","Test Nested Menu Navigation","","Mon Sep 23 23:37:37 AMT 2024","passed","Mon Sep 23 23:37:38 AMT 2024","","UI Tests","",""
"Verifies that footer links navigate to the correct pages.","1780","Test Footer Links","","Mon Sep 23 23:37:49 AMT 2024","passed","Mon Sep 23 23:37:51 AMT 2024","","UI Tests","",""
